id,number_val_e164,phone_number_type,status,purchased_at,updated_at,connection_id,connection_name,primary_ip,secondary_ip,tertiary_ip,primary_port,secondary_port,tertiary_port,primary_fqdn,secondary_fqdn,tertiary_fqdn,primary_fqdn_port,secondary_fqdn_port,tertiary_fqdn_port,primary_fqdn_dns_record_type,secondary_fqdn_dns_record_type,tertiary_fqdn_dns_record_type,caller_id_name_enabled,e911_enabled,emergency_address_id,cnam_listing_enabled,cnam_listing_details,t38_fax_gateway_enabled,accept_any_rtp_packets_enabled,enable_rtp_auto_adjust,hd_voice_enabled,ignore_tech_prefix,enable_tech_prefix,messaging_profile_id,messaging_profile_name,usage_payment_method,media_handling_mode,routing_method,inbound_call_recording_enabled,inbound_call_recording_channels,inbound_call_recording_format,tags,billing_group_id,bundle_id,bundle_name,external_pin,country_iso_alpha2,address_id,translated_number,forwards_to,forwarding_type,emergency_status,source_type,source_id,activated_at
2969156940032115800,+13656752410,longcode,port-failed,2026-05-27T15:44:49Z,2026-06-12T16:06:02Z,,,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,,,pay-per-minute,default,sequential,false,single,wav,"",,,,,,,"","","",,port request,e8f3fddb-807b-4601-bce3-c947dbecafe8,
2984404539341276573,+18889031607,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:08Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:08Z
2984404539332887964,+18888277751,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:08Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:08Z
2984404539290944921,+18884230677,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:07Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:07Z
2984404539324499355,+18887186638,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:08Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:08Z
2984404539316110746,+18886121991,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:08Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:08Z
2984404539341276574,+18889710910,toll_free,active,2026-06-17T16:39:04Z,2026-06-17T16:39:10Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,5576ed71-a9b9-455a-9bd8-2fd19b7edfdf,2026-06-17T16:39:10Z
2985955939242214478,+18887879851,toll_free,active,2026-06-19T20:01:26Z,2026-06-19T20:01:33Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,68057c1b-1cf3-4174-aa0b-cc6cea69dc7a,2026-06-19T20:01:33Z
2985955939124773959,+18886631669,toll_free,active,2026-06-19T20:01:26Z,2026-06-19T20:01:31Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,68057c1b-1cf3-4174-aa0b-cc6cea69dc7a,2026-06-19T20:01:31Z
2985955939141551176,+18886655218,toll_free,active,2026-06-19T20:01:26Z,2026-06-19T20:01:33Z,2960305301296776586,Proof-Bitrix24,"","","",,,,,,,,,,,,,false,false,,false,,true,false,true,false,true,false,40019e40-b72e-4009-a049-e3be3c726dbf,proof-text,pay-per-minute,default,sequential,false,single,wav,"",,,,,US,,"","","",,number order,68057c1b-1cf3-4174-aa0b-cc6cea69dc7a,2026-06-19T20:01:33Z
